日期,備轉容量(MW),備轉容量率(%)
20200101,279,11.01
20200102,308,10.91
20200103,338.4,11.96
20200104,363.6,14.21
20200105,269.5,10.88
20200106,300.9,10.51
20200107,310.4,10.65
20200108,323.5,11.33
20200109,313.1,10.9
20200110,329.8,11.58
20200111,385.1,15.2
20200112,309.1,12.44
20200113,315.7,11.02
20200114,341.2,11.85
20200115,338.6,11.91
20200116,300.5,10.47
20200117,339.9,12.06
20200118,316,12.12
20200119,333.4,13.17
20200120,318.3,11.38
20200121,325.9,11.84
20200122,388.7,15.09
20200123,334.4,14.21
20200124,348.3,16.17
20200125,355.1,16.89
20200126,352.8,16.66
20200127,370.4,17.06
20200128,365.3,16.01
20200129,330.4,13.77
20200130,299.1,11.36
20200131,336.1,12.58
20200201,389,15.43
20200202,324.7,13.08
20200203,408.8,14.62
20200204,330.2,11.61
20200205,364.3,12.83
20200206,334.7,11.75
20200207,376.7,13.32
20200208,366,14.28
20200209,308.4,12.26
20200210,314.6,11.12
20200211,321.9,11.23
20200212,334.8,11.73
20200213,324.6,11.16
20200214,312.3,10.7
20200215,299.6,10.79
20200216,398.5,15.9
20200217,374.4,13.23
20200218,424.9,14.95
20200219,356.4,12.56
20200220,313.2,10.94
20200221,313.8,11
20200222,367.4,14.11
20200223,373.9,14.92
20200224,301,10.44
20200225,312.4,10.7
20200226,316.7,10.75
20200227,425.3,14.99
20200228,328.6,12.47
20200229,280.6,10.93
20200301,332.1,13.29
20200302,329.5,11.54
20200303,310.6,10.64
20200304,375.8,13.02
20200305,351.8,12.3
20200306,317.9,11.13
20200307,371.2,14.18
20200308,337.9,13.22
20200309,320.9,10.82
20200310,393.1,13.75
20200311,325.5,11.41
20200312,300.2,10.23
20200313,309.8,10.62
20200314,382.6,14.83
20200315,349.3,14.06
20200316,482,17.22
20200317,414.3,14.41
20200318,415.3,14.26
20200319,308.5,10.5
20200320,370,12.75
20200321,302,11.34
20200322,308.6,11.83
20200323,377.1,12.84
20200324,412.5,14
20200325,357.7,11.91
20200326,318.7,10.33
20200327,326.4,10.44
20200328,406.6,15.7
20200329,348.9,13.87
20200330,350.8,12.22
20200331,332.2,11.39
20200401,409.5,14.48
20200402,410.8,16.15
20200403,374.9,14.92
20200404,441.4,18.21
20200405,424.9,17.45
20200406,405.4,14.35
20200407,403.7,14.36
20200408,336.4,11.91
20200409,367.8,13
20200410,465,16.33
20200411,317.9,12.34
20200412,280.9,11.42
20200413,332.8,12.05
20200414,356.3,12.78
20200415,349.7,12.41
20200416,314.4,11.02
20200417,360.9,12.45
20200418,348.9,13.09
20200419,302.8,11.42
20200420,409.1,13.64
20200421,437.6,14.59
20200422,403.1,14.1
20200423,394.8,14.07
20200424,394.8,14.26
20200425,316.6,12.34
20200426,312,12.43
20200427,381,13.27
20200428,468.7,16.19
20200429,334.6,11.33
20200430,486.4,16.43
20200501,351.2,13.11
20200502,341.4,12.9
20200503,296.7,11.06
20200504,347.6,10.75
20200505,340,10.2
20200506,342.6,10.39
20200507,373.6,11.49
20200508,341.4,10.1
20200509,382.3,12.87
20200510,301.5,10.25
20200511,335,10.09
20200512,376.6,11.78
20200513,419.9,13.01
20200514,338.2,10.11
20200515,362.2,10.72
20200516,394.7,13.14
20200517,424.1,14.78
20200518,408.5,12.45
20200519,462.6,14.76
20200520,495.1,15.71
20200521,398.3,12.62
20200522,367.5,11.9
20200523,406.1,15.1
20200524,428.9,15.94
20200525,394.2,12.15
20200526,356.3,10.83
20200527,493.2,15.69
20200528,526.1,16.69
20200529,409.8,12.59
20200530,418.6,14.68
20200531,343,11.92
20200601,363.3,10.79
20200602,407.1,11.84
20200603,416.3,12.07
20200604,375.4,10.75
20200605,368.2,10.56
20200606,424,13.79
20200607,453.5,16.13
20200608,458,14.15
20200609,451.5,13.95
20200610,436.7,12.93
20200611,398.6,11.65
20200612,358.6,10.24
20200613,376.4,11.93
20200614,457.2,15.33
20200615,503.3,14.34
20200616,402.2,11.27
20200617,397.5,10.99
20200618,419.1,11.65
20200619,386.2,10.63
20200620,367.5,10.41
20200621,348.4,11.02
20200622,384.9,10.51
20200623,376.8,10.23
20200624,408.6,10.99
20200625,337.9,10.61
20200626,390.7,12.87
20200627,362,11.88
20200628,341.2,10.97
20200629,401.3,11.04
20200630,464.6,12.67
20200701,402.9,11.09
20200702,445.8,12.44
20200703,413.1,11.54
20200704,428.7,13.43
20200705,347.5,11.13
20200706,501.6,13.98
20200707,461,12.69
20200708,431.5,11.63
20200709,436.7,11.9
20200710,437.9,11.89
20200711,367.1,11.15
20200712,351.8,10.92
20200713,397.4,10.59
20200714,392.4,10.38
20200715,421,11.45
20200716,508.5,14.16
20200717,425.6,11.54
20200718,432.1,13.02
20200719,412.8,12.97
20200720,426.8,11.38
20200721,513.3,13.94
20200722,426.6,11.42
20200723,384.8,10.12
20200724,412.9,10.99
20200725,469.7,14.3
20200726,471.8,15.44
20200727,456.5,12.42
20200728,453,12.47
20200729,484.5,13.33
20200730,546,15.34
20200731,413.8,11.4
20200801,412.1,12.61
20200802,381,12.39
20200803,489.8,14.53
20200804,435.3,12.79
20200805,438.7,12.4
20200806,385.3,10.53
20200807,386,10.52
20200808,387.1,11.96
20200809,318.7,10.23
20200810,372.6,10.23
20200811,438.4,12.47
20200812,427,11.69
20200813,465.1,12.81
20200814,502.2,13.97
20200815,494.1,15.83
20200816,462.2,15.55
20200817,458.5,12.9
20200818,423.6,11.68
20200819,386.9,10.46
20200820,438.4,11.91
20200821,386.2,10.49
20200822,339.8,10.97
20200823,329.7,10.9
20200824,369.5,10.13
20200825,381.2,10.28
20200826,379.6,10.6
20200827,454.5,12.95
20200828,427.2,12.16
20200829,417.4,13.4
20200830,408.6,13.32
20200831,471.9,13.41
20200901,447.8,12.64
20200902,386.8,10.6
20200903,481.1,13.56
20200904,487,13.54
20200905,392.2,12.75
20200906,387.3,13.87
20200907,436.2,12.85
20200908,415.5,11.83
20200909,417.6,11.81
20200910,425.5,12.01
20200911,408.4,11.47
20200912,338.3,10.8
20200913,302.4,10.07
20200914,371.8,10.43
20200915,372.5,10.26
20200916,373.3,10.22
20200917,372.4,10.11
20200918,372.9,10.11
20200919,331.7,10.21
20200920,388.5,13.16
20200921,456.2,13.26
20200922,512.5,14.97
20200923,477.2,13.76
20200924,543.4,16.21
20200925,527.4,16.48
20200926,454.7,14.62
20200927,448.9,16.75
20200928,455.5,14.64
20200929,425.9,13.42
20200930,528.5,17.2
20201001,464.5,17.6
20201002,346,12.78
20201003,341.8,12.41
20201004,359.1,12.7
20201005,453.9,13.96
20201006,423.9,13.29
20201007,410,13.1
20201008,471.8,15.31
20201009,431,15.68
20201010,329.5,12.03
20201011,308.8,11.26
20201012,336.1,10.17
20201013,346.5,10.38
20201014,399.2,12.17
20201015,392.6,12.01
20201016,380.1,11.56
20201017,408.7,14.59
20201018,394.6,14.85
20201019,450.5,14.51
20201020,424.4,13.42
20201021,330.9,10.22
20201022,434.1,13.91
20201023,400.3,13.48
20201024,389.2,14.53
20201025,402.5,15.41
20201026,350.3,11.27
20201027,340.2,10.74
20201028,347,10.86
20201029,370.7,11.86
20201030,421.5,13.93
20201031,371.9,13.9
20201101,356.9,13.66
20201102,352.3,11.58
20201103,318.9,10.64
20201104,355.1,11.92
20201105,331.9,10.94
20201106,326.3,10.26
20201107,319.9,11.34
20201108,392.8,15.33
20201109,408,13.89
20201110,359,12.04
20201111,370.8,12.52
20201112,319,10.5
20201113,337.3,11.17
20201114,336.4,12.39
20201115,346.3,13.27
20201116,314.7,10.16
20201117,320.2,10.2
20201118,336.1,10.56
20201119,331.4,10.33
20201120,364.3,11.38
20201121,292.8,10.21
20201122,276.5,10.28
20201123,314.4,10.2
20201124,313.4,10.13
20201125,330.6,10.5
20201126,314.4,10.01
20201127,349.5,11.58
20201128,297.7,11.09
20201129,328.7,13.02
20201130,332,11.4
20201201,323.7,10.94
20201202,305,10.33
20201203,316.8,10.81
20201204,308.4,10.5
20201205,361.8,13.58
20201206,269.1,10.51
20201207,310.6,10.45
20201208,316.4,10.59
20201209,309.4,10.27
20201210,308.6,10.22
20201211,312.9,10.46
20201212,328.2,12.31
20201213,283,11.12
20201214,302.2,10.2
20201215,301.2,10.14
20201216,302,10.14
20201217,300,10.04
20201218,304.7,10.22
20201219,304.7,11.39
20201220,361.6,14.09
20201221,307.2,10.36
20201222,319.9,10.7
20201223,307.6,10.15
20201224,354.5,11.87
20201225,341.8,11.67
20201226,306.6,11.47
20201227,286.9,11.04
20201228,313.5,10.63
20201229,309.4,10.3
20201230,311.8,10.72
20201231,315.4,11.09
20210101,276.7,10.76
20210102,293.6,11.52
20210103,303.7,11.92
20210104,303.2,10.2
20210105,306.7,10.21
20210106,310.2,10.23
20210107,310.2,10.17
20210108,310.6,10.21
20210109,320.1,11.41
20210110,290.6,10.66
20210111,309.3,10.08
20210112,311.6,10.17
20210113,311.4,10.38
20210114,313.2,10.43
20210115,330.9,11.2
20210116,304.6,11.23
20210117,303.4,11.36
20210118,315.7,10.55
20210119,315.8,10.53
20210120,315,10.5
20210121,307.4,10.15
20210122,309.7,10.29
20210123,320.3,11.77
20210124,307.3,11.95
20210125,326.9,10.97
20210126,321.9,10.75
20210127,306.4,10.36
20210128,328.6,11.12
20210129,320.3,10.94
20210130,344.7,12.93
20210131,290.6,11.41
2021/2/1,293.8,10.12
2021/2/2,304.5,10.24
2021/2/3,300.6,10.15
2021/2/4,313.2,10.56
2021/2/5,306,10.45
2021/2/6,306.6,11.49
2021/2/7,276.3,10.66
2021/2/8,304.7,10.92
2021/2/9,288,11.03
2021/2/10,288.8,11.85
2021/2/11,283.3,12.8
2021/2/12,299.2,13.65
2021/2/13,302.4,13.77
2021/2/14,291.1,12.97
2021/2/15,264.5,11.27
2021/2/16,300.2,12.15
2021/2/17,282.4,10.13
2021/2/18,290.7,10.19
2021/2/19,288.5,10.08
2021/2/20,297.5,10.86
2021/2/21,313.9,12.43
2021/2/22,298.9,10.18
2021/2/23,310.9,10.39
2021/2/24,304.9,10.15
2021/2/25,302.9,10.07
2021/2/26,304.1,10.23
2021/2/27,275.8,10.42
2021/2/28,267.2,10.68
2021/3/1,283.2,10.66
2021/3/2,322.1,10.95
2021/3/3,307.5,10.36
2021/3/4,308.8,10.37
2021/3/5,326.8,10.94
2021/3/6,280.5,10.42
2021/3/7,275.2,10.67
2021/3/8,311,10.45
2021/3/9,304.8,10.18
2021/3/10,305.5,10.22
2021/3/11,307.7,10.24
2021/3/12,327.2,10.93
2021/3/13,307.5,11.48
2021/3/14,293.3,11.44
2021/3/15,307.4,10.22
2021/3/16,308.7,10.06
2021/3/17,318.3,10.36
2021/3/18,321.4,10.46
2021/3/19,313.7,10.16
2021/3/20,283.9,10.23
2021/3/21,318.6,12.4
