日期,備轉容量(MW) - MODIFIED.csv,備轉容量率(%) - MODIFIED.csv
2020-01-01,279.0,11.01
2020-01-02,308.0,10.91
2020-01-03,338.4,11.96
2020-01-04,363.6,14.21
2020-01-05,269.5,10.88
2020-01-06,300.9,10.51
2020-01-07,310.4,10.65
2020-01-08,323.5,11.33
2020-01-09,313.1,10.9
2020-01-10,329.8,11.58
2020-01-11,385.1,15.2
2020-01-12,309.1,12.44
2020-01-13,315.7,11.02
2020-01-14,341.2,11.85
2020-01-15,338.6,11.91
2020-01-16,300.5,10.47
2020-01-17,339.9,12.06
2020-01-18,316.0,12.12
2020-01-19,333.4,13.17
2020-01-20,318.3,11.38
2020-01-21,325.9,11.84
2020-01-22,388.7,15.09
2020-01-23,334.4,14.21
2020-01-24,348.3,16.17
2020-01-25,355.1,16.89
2020-01-26,352.8,16.66
2020-01-27,370.4,17.06
2020-01-28,365.3,16.01
2020-01-29,330.4,13.77
2020-01-30,299.1,11.36
2020-01-31,336.1,12.58
2020-02-01,389.0,15.43
2020-02-02,324.7,13.08
2020-02-03,408.8,14.62
2020-02-04,330.2,11.61
2020-02-05,364.3,12.83
2020-02-06,334.7,11.75
2020-02-07,376.7,13.32
2020-02-08,366.0,14.28
2020-02-09,308.4,12.26
2020-02-10,314.6,11.12
2020-02-11,321.9,11.23
2020-02-12,334.8,11.73
2020-02-13,324.6,11.16
2020-02-14,312.3,10.7
2020-02-15,299.6,10.79
2020-02-16,398.5,15.9
2020-02-17,374.4,13.23
2020-02-18,424.9,14.95
2020-02-19,356.4,12.56
2020-02-20,313.2,10.94
2020-02-21,313.8,11.0
2020-02-22,367.4,14.11
2020-02-23,373.9,14.92
2020-02-24,301.0,10.44
2020-02-25,312.4,10.7
2020-02-26,316.7,10.75
2020-02-27,425.3,14.99
2020-02-28,328.6,12.47
2020-02-29,280.6,10.93
2020-03-01,332.1,13.29
2020-03-02,329.5,11.54
2020-03-03,310.6,10.64
2020-03-04,375.8,13.02
2020-03-05,351.8,12.3
2020-03-06,317.9,11.13
2020-03-07,371.2,14.18
2020-03-08,337.9,13.22
2020-03-09,320.9,10.82
2020-03-10,393.1,13.75
2020-03-11,325.5,11.41
2020-03-12,300.2,10.23
2020-03-13,309.8,10.62
2020-03-14,382.6,14.83
2020-03-15,349.3,14.06
2020-03-16,482.0,17.22
2020-03-17,414.3,14.41
2020-03-18,415.3,14.26
2020-03-19,308.5,10.5
2020-03-20,370.0,12.75
2020-03-21,302.0,11.34
2020-03-22,308.6,11.83
2020-03-23,377.1,12.84
2020-03-24,412.5,14.0
2020-03-25,357.7,11.91
2020-03-26,318.7,10.33
2020-03-27,326.4,10.44
2020-03-28,406.6,15.7
2020-03-29,348.9,13.87
2020-03-30,350.8,12.22
2020-03-31,332.2,11.39
2020-04-01,409.5,14.48
2020-04-02,410.8,16.15
2020-04-03,374.9,14.92
2020-04-04,441.4,18.21
2020-04-05,424.9,17.45
2020-04-06,405.4,14.35
2020-04-07,403.7,14.36
2020-04-08,336.4,11.91
2020-04-09,367.8,13.0
2020-04-10,465.0,16.33
2020-04-11,317.9,12.34
2020-04-12,280.9,11.42
2020-04-13,332.8,12.05
2020-04-14,356.3,12.78
2020-04-15,349.7,12.41
2020-04-16,314.4,11.02
2020-04-17,360.9,12.45
2020-04-18,348.9,13.09
2020-04-19,302.8,11.42
2020-04-20,409.1,13.64
2020-04-21,437.6,14.59
2020-04-22,403.1,14.1
2020-04-23,394.8,14.07
2020-04-24,394.8,14.26
2020-04-25,316.6,12.34
2020-04-26,312.0,12.43
2020-04-27,381.0,13.27
2020-04-28,468.7,16.19
2020-04-29,334.6,11.33
2020-04-30,486.4,16.43
2020-05-01,351.2,13.11
2020-05-02,341.4,12.9
2020-05-03,296.7,11.06
2020-05-04,347.6,10.75
2020-05-05,340.0,10.2
2020-05-06,342.6,10.39
2020-05-07,373.6,11.49
2020-05-08,341.4,10.1
2020-05-09,382.3,12.87
2020-05-10,301.5,10.25
2020-05-11,335.0,10.09
2020-05-12,376.6,11.78
2020-05-13,419.9,13.01
2020-05-14,338.2,10.11
2020-05-15,362.2,10.72
2020-05-16,394.7,13.14
2020-05-17,424.1,14.78
2020-05-18,408.5,12.45
2020-05-19,462.6,14.76
2020-05-20,495.1,15.71
2020-05-21,398.3,12.62
2020-05-22,367.5,11.9
2020-05-23,406.1,15.1
2020-05-24,428.9,15.94
2020-05-25,394.2,12.15
2020-05-26,356.3,10.83
2020-05-27,493.2,15.69
2020-05-28,526.1,16.69
2020-05-29,409.8,12.59
2020-05-30,418.6,14.68
2020-05-31,343.0,11.92
2020-06-01,363.3,10.79
2020-06-02,407.1,11.84
2020-06-03,416.3,12.07
2020-06-04,375.4,10.75
2020-06-05,368.2,10.56
2020-06-06,424.0,13.79
2020-06-07,453.5,16.13
2020-06-08,458.0,14.15
2020-06-09,451.5,13.95
2020-06-10,436.7,12.93
2020-06-11,398.6,11.65
2020-06-12,358.6,10.24
2020-06-13,376.4,11.93
2020-06-14,457.2,15.33
2020-06-15,503.3,14.34
2020-06-16,402.2,11.27
2020-06-17,397.5,10.99
2020-06-18,419.1,11.65
2020-06-19,386.2,10.63
2020-06-20,367.5,10.41
2020-06-21,348.4,11.02
2020-06-22,384.9,10.51
2020-06-23,376.8,10.23
2020-06-24,408.6,10.99
2020-06-25,337.9,10.61
2020-06-26,390.7,12.87
2020-06-27,362.0,11.88
2020-06-28,341.2,10.97
2020-06-29,401.3,11.04
2020-06-30,464.6,12.67
2020-07-01,402.9,11.09
2020-07-02,445.8,12.44
2020-07-03,413.1,11.54
2020-07-04,428.7,13.43
2020-07-05,347.5,11.13
2020-07-06,501.6,13.98
2020-07-07,461.0,12.69
2020-07-08,431.5,11.63
2020-07-09,436.7,11.9
2020-07-10,437.9,11.89
2020-07-11,367.1,11.15
2020-07-12,351.8,10.92
2020-07-13,397.4,10.59
2020-07-14,392.4,10.38
2020-07-15,421.0,11.45
2020-07-16,508.5,14.16
2020-07-17,425.6,11.54
2020-07-18,432.1,13.02
2020-07-19,412.8,12.97
2020-07-20,426.8,11.38
2020-07-21,513.3,13.94
2020-07-22,426.6,11.42
2020-07-23,384.8,10.12
2020-07-24,412.9,10.99
2020-07-25,469.7,14.3
2020-07-26,471.8,15.44
2020-07-27,456.5,12.42
2020-07-28,453.0,12.47
2020-07-29,484.5,13.33
2020-07-30,546.0,15.34
2020-07-31,413.8,11.4
2020-08-01,412.1,12.61
2020-08-02,381.0,12.39
2020-08-03,489.8,14.53
2020-08-04,435.3,12.79
2020-08-05,438.7,12.4
2020-08-06,385.3,10.53
2020-08-07,386.0,10.52
2020-08-08,387.1,11.96
2020-08-09,318.7,10.23
2020-08-10,372.6,10.23
2020-08-11,438.4,12.47
2020-08-12,427.0,11.69
2020-08-13,465.1,12.81
2020-08-14,502.2,13.97
2020-08-15,494.1,15.83
2020-08-16,462.2,15.55
2020-08-17,458.5,12.9
2020-08-18,423.6,11.68
2020-08-19,386.9,10.46
2020-08-20,438.4,11.91
2020-08-21,386.2,10.49
2020-08-22,339.8,10.97
2020-08-23,329.7,10.9
2020-08-24,369.5,10.13
2020-08-25,381.2,10.28
2020-08-26,379.6,10.6
2020-08-27,454.5,12.95
2020-08-28,427.2,12.16
2020-08-29,417.4,13.4
2020-08-30,408.6,13.32
2020-08-31,471.9,13.41
2020-09-01,447.8,12.64
2020-09-02,386.8,10.6
2020-09-03,481.1,13.56
2020-09-04,487.0,13.54
2020-09-05,392.2,12.75
2020-09-06,387.3,13.87
2020-09-07,436.2,12.85
2020-09-08,415.5,11.83
2020-09-09,417.6,11.81
2020-09-10,425.5,12.01
2020-09-11,408.4,11.47
2020-09-12,338.3,10.8
2020-09-13,302.4,10.07
2020-09-14,371.8,10.43
2020-09-15,372.5,10.26
2020-09-16,373.3,10.22
2020-09-17,372.4,10.11
2020-09-18,372.9,10.11
2020-09-19,331.7,10.21
2020-09-20,388.5,13.16
2020-09-21,456.2,13.26
2020-09-22,512.5,14.97
2020-09-23,477.2,13.76
2020-09-24,543.4,16.21
2020-09-25,527.4,16.48
2020-09-26,454.7,14.62
2020-09-27,448.9,16.75
2020-09-28,455.5,14.64
2020-09-29,425.9,13.42
2020-09-30,528.5,17.2
2020-10-01,464.5,17.6
2020-10-02,346.0,12.78
2020-10-03,341.8,12.41
2020-10-04,359.1,12.7
2020-10-05,453.9,13.96
2020-10-06,423.9,13.29
2020-10-07,410.0,13.1
2020-10-08,471.8,15.31
2020-10-09,431.0,15.68
2020-10-10,329.5,12.03
2020-10-11,308.8,11.26
2020-10-12,336.1,10.17
2020-10-13,346.5,10.38
2020-10-14,399.2,12.17
2020-10-15,392.6,12.01
2020-10-16,380.1,11.56
2020-10-17,408.7,14.59
2020-10-18,394.6,14.85
2020-10-19,450.5,14.51
2020-10-20,424.4,13.42
2020-10-21,330.9,10.22
2020-10-22,434.1,13.91
2020-10-23,400.3,13.48
2020-10-24,389.2,14.53
2020-10-25,402.5,15.41
2020-10-26,350.3,11.27
2020-10-27,340.2,10.74
2020-10-28,347.0,10.86
2020-10-29,370.7,11.86
2020-10-30,421.5,13.93
2020-10-31,371.9,13.9
2020-11-01,356.9,13.66
2020-11-02,352.3,11.58
2020-11-03,318.9,10.64
2020-11-04,355.1,11.92
2020-11-05,331.9,10.94
2020-11-06,326.3,10.26
2020-11-07,319.9,11.34
2020-11-08,392.8,15.33
2020-11-09,408.0,13.89
2020-11-10,359.0,12.04
2020-11-11,370.8,12.52
2020-11-12,319.0,10.5
2020-11-13,337.3,11.17
2020-11-14,336.4,12.39
2020-11-15,346.3,13.27
2020-11-16,314.7,10.16
2020-11-17,320.2,10.2
2020-11-18,336.1,10.56
2020-11-19,331.4,10.33
2020-11-20,364.3,11.38
2020-11-21,292.8,10.21
2020-11-22,276.5,10.28
2020-11-23,314.4,10.2
2020-11-24,313.4,10.13
2020-11-25,330.6,10.5
2020-11-26,314.4,10.01
2020-11-27,349.5,11.58
2020-11-28,297.7,11.09
2020-11-29,328.7,13.02
2020-11-30,332.0,11.4
2020-12-01,323.7,10.94
2020-12-02,305.0,10.33
2020-12-03,316.8,10.81
2020-12-04,308.4,10.5
2020-12-05,361.8,13.58
2020-12-06,269.1,10.51
2020-12-07,310.6,10.45
2020-12-08,316.4,10.59
2020-12-09,309.4,10.27
2020-12-10,308.6,10.22
2020-12-11,312.9,10.46
2020-12-12,328.2,12.31
2020-12-13,283.0,11.12
2020-12-14,302.2,10.2
2020-12-15,301.2,10.14
2020-12-16,302.0,10.14
2020-12-17,300.0,10.04
2020-12-18,304.7,10.22
2020-12-19,304.7,11.39
2020-12-20,361.6,14.09
2020-12-21,307.2,10.36
2020-12-22,319.9,10.7
2020-12-23,307.6,10.15
2020-12-24,354.5,11.87
2020-12-25,341.8,11.67
2020-12-26,306.6,11.47
2020-12-27,286.9,11.04
2020-12-28,313.5,10.63
2020-12-29,309.4,10.3
2020-12-30,311.8,10.72
2020-12-31,315.4,11.09
2021-01-01,276.7,10.76
2021-01-02,293.6,11.52
2021-01-03,303.7,11.92
2021-01-04,303.2,10.2
2021-01-05,306.7,10.21
2021-01-06,310.2,10.23
2021-01-07,310.2,10.17
2021-01-08,310.6,10.21
2021-01-09,320.1,11.41
2021-01-10,290.6,10.66
2021-01-11,309.3,10.08
2021-01-12,311.6,10.17
2021-01-13,311.4,10.38
2021-01-14,313.2,10.43
2021-01-15,330.9,11.2
2021-01-16,304.6,11.23
2021-01-17,303.4,11.36
2021-01-18,315.7,10.55
2021-01-19,315.8,10.53
2021-01-20,315.0,10.5
2021-01-21,307.4,10.15
2021-01-22,309.7,10.29
2021-01-23,320.3,11.77
2021-01-24,307.3,11.95
2021-01-25,326.9,10.97
2021-01-26,321.9,10.75
2021-01-27,306.4,10.36
2021-01-28,328.6,11.12
2021-01-29,320.3,10.94
2021-01-30,344.7,12.93
2021-01-31,290.6,11.41
2021-02-01,293.8,10.12
2021-02-02,304.5,10.24
2021-02-03,300.6,10.15
2021-02-04,313.2,10.56
2021-02-05,306.0,10.45
2021-02-06,306.6,11.49
2021-02-07,276.3,10.66
2021-02-08,304.7,10.92
2021-02-09,288.0,11.03
2021-02-10,288.8,11.85
2021-02-11,283.3,12.8
2021-02-12,299.2,13.65
2021-02-13,302.4,13.77
2021-02-14,291.1,12.97
2021-02-15,264.5,11.27
2021-02-16,300.2,12.15
2021-02-17,282.4,10.13
2021-02-18,290.7,10.19
2021-02-19,288.5,10.08
2021-02-20,297.5,10.86
2021-02-21,313.9,12.43
2021-02-22,298.9,10.18
2021-02-23,310.9,10.39
2021-02-24,304.9,10.15
2021-02-25,302.9,10.07
2021-02-26,304.1,10.23
2021-02-27,275.8,10.42
2021-02-28,267.2,10.68
2021-03-01,283.2,10.66
2021-03-02,322.1,10.95
2021-03-03,307.5,10.36
2021-03-04,308.8,10.37
2021-03-05,326.8,10.94
2021-03-06,280.5,10.42
2021-03-07,275.2,10.67
2021-03-08,311.0,10.45
2021-03-09,304.8,10.18
2021-03-10,305.5,10.22
2021-03-11,307.7,10.24
2021-03-12,327.2,10.93
2021-03-13,307.5,11.48
2021-03-14,293.3,11.44
2021-03-15,307.4,10.22
2021-03-16,308.7,10.06
2021-03-17,318.3,10.36
2021-03-18,321.4,10.46
2021-03-19,313.7,10.16
2021-03-20,283.9,10.23
2021-03-21,318.6,12.4
